PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
189,195989771,-77.705681,-3.632987,-135.606735,-0.055499,0.040168,0.052514,0.519803,-0.011628,-0.014215
190,196006438,-77.706825,-3.634104,-135.606049,-0.047931,0.032104,0.042463,0.352732,-0.022731,-0.087711
191,196023105,-77.711891,-3.634856,-135.605698,-0.043391,0.061603,0.047750,0.117159,-0.013472,-0.065914
192,196039772,-77.718185,-3.635959,-135.602554,-0.052888,0.054517,0.055774,0.047390,-0.061867,-0.079182
193,196056439,-77.718407,-3.634805,-135.602631,-0.049854,0.061063,0.052735,0.414919,-0.046180,0.060580
194,196073106,-77.710701,-3.632964,-135.603973,-0.048462,0.048796,0.049236,0.885911,0.045904,0.080430
195,196089773,-77.706009,-3.631707,-135.603516,-0.043159,0.044397,0.049575,0.707250,0.019113,0.048991
196,196106440,-77.709892,-3.631601,-135.601715,-0.038575,0.047253,0.043283,0.193344,0.003900,-0.018249
197,196123107,-77.722710,-3.631713,-135.603012,-0.045304,0.055194,0.040875,-0.341315,-0.008055,-0.025369
198,196139774,-77.732567,-3.633455,-135.603287,-0.066392,0.064615,0.061340,-0.164869,-0.004367,-0.128179
199,196156441,-77.735016,-3.633557,-135.603989,-0.062239,0.071333,0.045868,0.280619,0.020996,-0.033028
200,196173108,-77.723114,-3.633430,-135.602951,-0.066038,0.063780,0.047210,1.145919,0.014503,-0.019927
201,196189775,-77.709610,-3.632925,-135.604553,-0.029255,0.055307,0.038276,1.236908,0.123972,-0.018236
202,196206442,-77.705795,-3.632792,-135.605057,-0.041766,0.044405,0.050935,0.664963,-0.021387,-0.007978
203,196223109,-77.709763,-3.633322,-135.605728,-0.044000,0.039442,0.063442,0.196136,0.000032,-0.054542
204,196239776,-77.717911,-3.634670,-135.607468,-0.059315,0.055470,0.037902,-0.054389,-0.005289,-0.100261
205,196256443,-77.721703,-3.634660,-135.606201,-0.050290,0.072792,0.043544,0.211529,-0.048306,-0.011641
206,196273110,-77.719864,-3.633334,-135.606903,-0.050316,0.058358,0.028035,0.550910,-0.006839,0.061298
207,196289777,-77.713684,-3.633178,-135.607071,-0.047282,0.048883,0.035180,0.810367,-0.006698,-0.008939
208,196306444,-77.712357,-3.633287,-135.604477,-0.059271,0.039618,0.038561,0.523965,-0.075929,-0.014305
209,196323111,-77.718346,-3.633119,-135.605423,-0.045427,0.047751,0.054301,0.079214,0.047339,-0.021066
